generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
20150000,3,-1.62812,-3833.32,2.56407,0.581233,0.2319
20200000,2,-0.740931,-3833.55,1.69503,0.624205,0.250533
20250000,2,0.175338,-3831.52,0.701844,0.620064,0.2424
20300000,2,0.0028348,-3835.28,0.867229,0.601839,0.24005
20350000,1,-0.252821,-3843.87,0.633721,0.605454,0.211533
20400000,1,0.281397,-3844.83,0.131505,0.601413,0.224624
20450000,3,-1.65041,-3838.22,2.05405,0.611469,0.2444
20500000,2,-1.61467,-3847.46,1.97988,0.604852,0.2641
20550000,2,-3.08275,-3833.55,3.91208,0.623057,0.24695
20600000,2,0.442412,-3832.14,0.486968,0.609852,0.242067
20650000,2,-1.17171,-3836.68,2.11491,0.580241,0.23685
20700000,2,-0.548821,-3832.14,1.43532,0.613973,0.2376
20750000,2,-1.43731,-3833.44,2.3741,0.626116,0.2431
20800000,2,0.294131,-3832.64,0.573796,0.625522,0.257348
20850000,2,0.618726,-3835.04,0.184486,0.621449,0.241067
20900000,2,-0.535244,-3836,1.50491,0.596854,0.2488
20950000,2,0.0593485,-3833.89,0.863342,0.601888,0.2393
21000000,2,-1.33288,-3834.1,2.2252,0.592603,0.238
