generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
16300000,2,-0.586682,-3833.91,1.50439,0.614911,0.2473
16350000,2,-1.99561,-3841.09,2.90242,0.567589,0.2439
16400000,2,-2.00465,-3836.33,2.96352,0.613959,0.244433
16450000,2,-0.897726,-3842.37,1.31786,0.625919,0.233153
16500000,2,-0.24559,-3835.74,1.26382,0.607958,0.2379
16550000,2,-0.505133,-3832.54,1.40723,0.602209,0.2364
16600000,2,-0.10018,-3834.36,1.07285,0.582375,0.2363
16650000,2,-0.696645,-3832.08,1.68584,0.60923,0.2408
16700000,3,0.294733,-3830.56,1.01589,0.596503,0.2409
16750000,1,-0.665543,-3844.36,1.04915,0.590531,0.232375
16800000,2,-0.513116,-3831.15,1.44062,0.616504,0.2477
16850000,1,-0.564995,-3851.35,0.957568,0.649109,0.2715
16900000,2,0.157569,-3838.38,0.651371,0.623754,0.26204
16950000,2,-0.542371,-3831.88,1.46958,0.585261,0.2299
17000000,2,-1.65795,-3832.28,2.56694,0.615823,0.239446
17050000,2,-2.06237,-3832.02,2.9713,0.616813,0.249444
17100000,2,-0.201053,-3841.56,1.04674,0.607408,0.225336
17150000,3,-0.81499,-3831.24,2.17171,0.589356,0.2328
17200000,2,-0.88712,-3833.5,1.74946,0.616277,0.242
17250000,2,-0.655686,-3835.65,1.60393,0.608544,0.2502
17300000,2,-1.29766,-3832.98,2.16886,0.599172,0.250311
17350000,2,-0.122793,-3833.8,1.06801,0.621621,0.2393
17400000,2,-0.0536851,-3838.83,0.850103,0.612567,0.256267
17450000,2,-3.91315,-3833.96,4.86731,0.598631,0.2579
17500000,3,-1.90962,-3833.98,3.02735,0.609133,0.23185
17550000,2,0.590654,-3835.24,0.329012,0.613497,0.2384
17600000,2,-0.100111,-3833.6,1.02829,0.602206,0.2422
17650000,2,-2.57245,-3844.13,3.20591,0.60143,0.233025
17700000,3,-0.974608,-3834.03,1.40161,0.596443,0.2361
17750000,1,-1.07597,-3848.58,1.38034,0.582309,0.2077
17800000,2,-0.880314,-3832.83,1.78329,0.610759,0.237125
17850000,1,-0.701915,-3850.71,0.987528,0.642276,0.226575
17900000,2,-0.191316,-3832.78,1.03191,0.595883,0.235
17950000,1,0.259916,-3845.99,0.135275,0.592844,0.21485
18000000,2,-0.618372,-3833.16,1.44656,0.610795,0.249667
18050000,2,-1.933,-3835.79,2.77539,0.587273,0.24735
18100000,2,0.0173789,-3832.34,0.91133,0.60151,0.250367
18150000,2,-0.0822401,-3831.9,0.991476,0.594037,0.2344
18200000,3,-3.70121,-3829.06,4.96978,0.617145,0.2306
